Nom de l'offre touristique;Type de l'offre;Adresse partie 2;Code postal;Nom de la commune;Code Insee de la Commune;Latitude;Longitude;localisation;email;N° de téléphone mobile;Url du site web;information 1;information 2
CHAMBRES D'HÔTES BELLILOIRE;Chambres d'hôtes;;44370;LOIREAUXENCE;44213;47.47458;-1.00446;47.47458, -1.00446;;;;Maison Animal non accepté  Parc/jardin,WiFi;Entrée indépendante,Jardin indépendant,Local vélo,Parking,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées  Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)
DOMAINE DE LA MIENNERIE;Meublés;;44370;LOIREAUXENCE;44213;47.385079;-1.0299579;47.385079, -1.0299579;;06 37 78 35 41;;Appartement   Parc/jardin;Entrée indépendante,Plain Pied,Sanitaires privés,Terrasse / Balcon  Non classé 
LES FRICHEQUETTES;Meublés;;44260;SAVENAY;44195;47.358852;-1.944482;47.358852, -1.944482;;;http://www.frichequettes.com;Maison Animal admis  Parc/jardin,WiFi;Entrée indépendante,Jardin indépendant,Parking,Sanitaires privés Lave vaisselle,Micro ondes Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit)
CHAMBRES D'HÔTES DE LA BERGERIE;Chambres d'hôtes;401 La Bergerie;44390;LES TOUCHES;44205;47.4553192;-1.3923185;47.4553192, -1.3923185;;06 72 64 93 82;https://sites.google.com/site/chambresdelabergerie/home;Maison   Parc/jardin,WiFi;Entrée indépendante,Local vélo,Parking,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Equipement bébé,Micro ondes Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)
GÎTE DU CHAMPSIOME;Meublés;25 rue du Moulin Rouge;44860;PONT-SAINT-MARTIN;44130;47.1492344;-1.5552324;47.1492344, -1.5552324;;;;Maison   ;  Non classé 
LES GÎTES DU LAC L'ECURIE;Meublés;13 Rue de Villegaie;44118;LA CHEVROLIERE;44041;47.09263;-1.607;47.09263, -1.607;;;https://lesgitesdulac-nantes.fr/;Maison   WiFi;Entrée indépendante,Parking,Plain Pied,Sanitaires privés,Toilettes séparées Equipement bébé,Lave linge,Micro ondes 3 étoiles Location de draps,Option nettoyage
GÎTE DES BRETONS NANTAIS;Meublés;22 rue Joseph Turbel;44400;REZE;44143;47.1895628;-1.5450756;47.1895628, -1.5450756;;06 88 94 27 15;http://www.gite-breton-nantais.com;Maison Animal non accepté  Parc/jardin,WiFi;Entrée indépendante,Local vélo,Parking,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Lave linge,Sèche linge,Lave vaisselle,Micro ondes 3 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Nettoyage (gratuit)
RANDORTOIR MANOIR DE L'ESPERANCE;Meublés;L'Espérance;44560;CORSEPT;44046;47.2772573;-2.0774183;47.2772573, -2.0774183;;06 19 26 75 80;http://www.manoirdelesperance.fr/;Cabane Animal admis  Parc/jardin,WiFi;Entrée indépendante,Parking,Terrain clos,Toilettes séparées   Location de linge,Location/prêt de vélo,Tables d'hôtes
VILLA CHEMINÉE - TATZU NISHI;Meublés;"Lieu dit ""Le Grand Quartier""";44360;CORDEMAIS;44045;47.2815728;-1.8963213;47.2815728, -1.8963213;;;reservation.nantes-tourisme.com;   ;   
GITE LA VILLA DU BOIS;Meublés;5 allee du calvaire;44240;LA CHAPELLE-SUR-ERDRE;44035;47.2831855;-1.537129;47.2831855, -1.537129;;;;Maison Animal non accepté  Parc/jardin,WiFi;Entrée indépendante,Jardin indépendant,Local vélo,Parking,Plain Pied,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Cheminée,Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes 2 étoiles Location de draps,Location de linge
CHARMANT APPARTEMENT 100 M GRANDE PLAGE;Meublés;5 rue de la Grande Vallée;44740;BATZ-SUR-MER;44010;47.2808643;-2.49568;47.2808643, -2.49568;;06 60 77 44 89;;Appartement Animal admis  ;Parking,Terrain clos,Terrasse / Balcon Equipement bébé,Lave linge,Lave vaisselle,Micro ondes Non classé 
GITE DE LA DURASSERIE  5 PERSONNES;Meublés;17 Rue de la Fontaine Bleue;44450;DIVATTE-SUR-LOIRE;44029;47.26936;-1.34532;47.26936, -1.34532;;;;Maison Animal non accepté  Parc/jardin,Piscine;Jardin indépendant,Parking,Plain Pied,Terrain clos,Terrasse / Balcon Lave linge,Lave vaisselle,Micro ondes Non classé 
CHAMBRES D'HÔTES HOM'GAIA;Chambres d'hôtes;1 le Bourg Cornu;44190;CLISSON;44043;47.0905;-1.286392;47.0905, -1.286392;;06 78 94 15 27;http://www.homgaia-chambredhotes-clisson.fr/;Maison Animal non accepté  Parc/jardin,WiFi;Entrée indépendante,Jardin indépendant,Local vélo,Parking,Sanitaires privés,Terrain clos,Terrasse / Balcon Equipement bébé,Micro ondes Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit)
LES CHAMBRES DE LA CHEBUETTE;Chambres d'hôtes;102 Levée de la Divatte;44450;SAINT-JULIEN-DE-CONCELLES;44169;47.2682527;-1.4094343;47.2682527, -1.4094343;;;;Maison Animal non accepté  Parc/jardin,WiFi;Local vélo,Parking,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Equipement bébé Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)
LE GÎTE BLINOIS;Meublés;35 Boulevard de la Résistance;44130;BLAIN;44015;47.4737695;-1.7590387;47.4737695, -1.7590387;;06 73 31 00 79;;Appartement Animal non accepté  WiFi;Entrée indépendante,Parking,Sanitaires privés,Terrain clos,Toilettes séparées Lave linge,Sèche linge,Lave vaisselle,Micro ondes Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit)
CHAMBRE D'HOTE CLISSON LA CAILLERIE;Chambres d'hôtes;34 avenue de la Caillerie;44190;CLISSON;44043;47.0834352;-1.2965505;47.0834352, -1.2965505;;;;Maison Animal non accepté  Parc/jardin,WiFi;Parking,Plain Pied,Sanitaires privés,Terrain clos,Toilettes séparées Cheminée,Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)
CHAMBRES D'HOTES CHATEAU DE L'OISELINIERE;Chambres d'hôtes;Château de l'Oiselinière;44190;GORGES;44064;47.106689;-1.2923976;47.106689, -1.2923976;;06 21 43 33 46;http://www.chateau-de-l-oiseliniere.com;Châteaux et demeures de prestige Animal non accepté  Parc/jardin,Plan d'eau,WiFi;Entrée indépendante,Jardin indépendant,Parking,Sanitaires privés,Terrain clos,Toilettes séparées Cheminée,Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes 4 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit),Tables d'hôtes
GITE DU CHAI;Meublés;205 la Févrie;44690;MAISDON-SUR-SEVRE;44088;47.1414518;-1.3812199;47.1414518, -1.3812199;;06 82 83 81 63;https://domaine3versants.fr/;Appartement,Maison  SP accessible Parc/jardin,Plan d'eau,WiFi;Entrée indépendante,Jardin indépendant,Parking,Sanitaires privés,Terrasse / Balcon,Toilettes séparées Equipement bébé,Lave linge,Lave vaisselle,Micro ondes Non classé Location de draps,Location de linge
CHAMBRES D'HÔTES ENTRE LOIRE ET OCEAN;Chambres d'hôtes;46 rue de la Normandière;44650;LEGE;44081;46.9556653;-1.5754474;46.9556653, -1.5754474;;;http://entre.loire.et.ocean.free.fr/joomla;Maison   Espace bien-être,Parc/jardin,Plan d'eau,WiFi;Entrée indépendante,Parking,Plain Pied,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Cheminée,Equipement bébé Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Nettoyage (gratuit)
GITE DU CHÂTEAU DE LA GRANGE;Meublés;La Grange;44650;CORCOUE-SUR-LOGNE;44156;46.9360411;-1.5322408;46.9360411, -1.5322408;;;https://www.gite-chateaudelagrange.com;Maison Animal non accepté  Parc/jardin,Plan d'eau;Entrée indépendante,Jardin indépendant,Parking,Sanitaires privés,Terrain clos,Toilettes séparées Cheminée,Equipement bébé,Lave linge,Lave vaisselle,Micro ondes Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit)
GÎTE ÉCLUSE DE LA TINDIÈRE;Meublés;5 Sobidain;44390;NORT-SUR-ERDRE;44110;47.4198041;-1.5358951;47.4198041, -1.5358951;;;;Maison   Plan d'eau,WiFi;Entrée indépendante,Jardin indépendant,Local vélo,Parking,Plain Pied,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes 2 étoiles Location de draps,Location de linge,Location/prêt de vélo,Option nettoyage
PONT-ROUSSEAU;Meublés;14 avenue François Peltier;44400;REZE;44143;47.191089;-1.544917;47.191089, -1.544917;;;http://www.residspa.com;Appartement Animal non accepté  Espace bien-être,Parc/jardin,Piscine,Piscine couverte,WiFi;Entrée indépendante,Parking,Plain Pied,Sanitaires privés,Terrasse / Balcon Lave linge,Sèche linge,Micro ondes  Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Option nettoyage,Nettoyage (gratuit)
LA DERMURIE STUDIO 1;Meublés;17 Rue de la Dermurie;44600;SAINT-NAZAIRE;44184;47.28327;-2.2056;47.28327, -2.2056;;;;Appartement Animal non accepté  WiFi;Jardin indépendant,Sanitaires privés,Terrasse / Balcon Micro ondes 2 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit)
LE PETIT PRÉFET;Meublés;48 RUE PREFET BONNEFOY;44000;NANTES;44109;47.2223772;-1.5488285;47.2223772, -1.5488285;;;;Appartement Animal non accepté  WiFi;Entrée indépendante,Parking,Sanitaires privés,Terrasse / Balcon Lave linge,Sèche linge,Lave vaisselle,Micro ondes 2 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage
LA COLONIALE;Meublés;50 rue de la paix;44600;SAINT-NAZAIRE;44184;47.2776598;-2.2149249;47.2776598, -2.2149249;;06 74 56 87 78;;Appartement Animal non accepté  Parc/jardin,WiFi;Entrée indépendante,Jardin indépendant,Parking,Plain Pied,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Equipement bébé,Lave linge,Lave vaisselle,Micro ondes 3 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location de linge,Location/prêt de vélo,Option nettoyage
GITE LE JULES VERNE;Meublés;La Marionnière;44860;PONT-SAINT-MARTIN;44130;47.13464;-1.5882;47.13464, -1.5882;;;https://www.marionniere.fr;Maison Animal admis  Parc/jardin,Piscine,WiFi;Entrée indépendante,Jardin indépendant,Parking,Sanitaires privés,Terrasse / Balcon,Toilettes séparées Lave linge,Lave vaisselle Non classé Fourniture de draps (gratuit),Location/prêt de vélo
O natur'l;Meublés;9 chemin de la Bidaudière;44740;CARQUEFOU;44026;47.316036;-1.433548;47.316036, -1.433548;;33782213036;http://www.giteonaturel.fr; Animal non accepté  Piscine,WiFi;Jardin indépendant,Terrain clos,Terrasse / Balcon Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes  Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)
CAMPING LE DOMAINE DU COLLET - ROULOTTES;Hébergement insolite;Route Verte;44760;LES MOUTIERS-EN-RETZ;44106;47.0366992;-1.984475;47.0366992, -1.984475;;06 89 94 40 10;http://www.domaine-du-collet.com;Mobilhome,Roulotte Animal admis  Parc/jardin,Piscine,Piscine couverte,Plan d'eau,Tennis,WiFi;Entrée indépendante,Garage,Jardin indépendant,Parking,Plain Pied,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Micro ondes 4 étoiles 
CHAMBRES D'HÔTES LA MAISON DANS LES BOIS;Chambres d'hôtes;161 Lieu-dit Le Vaud;44521;OUDON;44115;47.3482345;-1.3058861;47.3482345, -1.3058861;;06 89 67 18 41;https://www.lamaisondanslesbois44.com/;Bungalow Animal non accepté  Espace bien-être,Parc/jardin,WiFi;Entrée indépendante,Jardin indépendant,Parking,Sanitaires privés,Terrasse / Balcon,Toilettes séparées Micro ondes Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)
ALBATROS - CITRON;Meublés;46 Allée des Albatros;44600;SAINT-NAZAIRE;44184;47.25901;-2.24421;47.25901, -2.24421;;;https://tour.giraffe360.com/107fe278aad14fffb968a3731d5d04e6/;Appartement   Parc/jardin,WiFi;Jardin indépendant,Sanitaires privés,Terrasse / Balcon,Toilettes séparées Equipement bébé,Micro ondes  Location de linge
Villa Kerarvan;Chambres d'hôtes;3 Rue Sophie-Tatischeff;44600;SAINT-NAZAIRE;44184;47.240658;-2.278782;47.240658, -2.278782;;33677251489;;Maison Animal non accepté  Climatisation,Espace bien-être,WiFi;Parking,Terrain clos   
CHAMBRES D'HOTES LE PETIT RIGNÉ;Chambres d'hôtes;Le Petit Rigné;44660;ROUGE;44146;47.778472;-1.439683;47.778472, -1.439683;;06 80 08 10 85;;Maison Animal admis  WiFi;Entrée indépendante,Terrasse / Balcon Cheminée Non classé Fourniture de draps (gratuit)
CABANE DES ROCHERS A SAINT-FIACRE-SUR-MAINE;Hébergement insolite;35 RUE DE LA COMBE;44690;SAINT-FIACRE-SUR-MAINE;44159;47.15285;-1.41121;47.15285, -1.41121;;;https://www.randocabane.fr/;Cabane Animal non accepté  Parc/jardin;Entrée indépendante,Local vélo,Parking,Plain Pied,Sanitaires privés,Toilettes séparées Micro ondes Non classé Location de draps,Location de linge
LA MAISON MAGIQUE;Hébergement insolite;17 bis rue de Bel Air;44570;TRIGNAC;44210;47.3237433;-2.1994598;47.3237433, -2.1994598;;;http://www.insolite.voyage/index.php?p=1_15_La-Maison-Magique;Cabane Animal admis  Parc/jardin;Entrée indépendante,Jardin indépendant,Sanitaires privés,Terrain clos   Location de draps
RESIDENCES SENIORS DOMITYS - LES PORTES DE L'ATLANTIQUE;Meublés;67 Route de Guindreff;44600;SAINT-NAZAIRE;44184;47.2838;-2.23734;47.2838, -2.23734;;;https://www.domitys.fr/residence-services-senior/pays-de-la-loire/loire-atlantique-44/saint-nazaire-les-portes-de-l-atlantique-44.html#utm_campaign=saint-nazaire&utm_medium=pm&utm_source=gmb;   ;  Non classé 
VASCO;Meublés;1 Rue Vasco de Gama;44600;SAINT-NAZAIRE;44184;47.28282;-2.22667;47.28282, -2.22667;;06 19 96 11 45;;Appartement Animal non accepté  ;Entrée indépendante,Garage,Local vélo,Sanitaires privés,Terrain clos,Terrasse / Balcon Lave linge,Micro ondes 2 étoiles 
M. ET MME SAUTHIER (RDC);Meublés;13 Avenue de Saint-Nazaire;44600;SAINT-NAZAIRE;44184;47.241541;-2.278482;47.241541, -2.278482;;06 85 27 91 63;;Appartement   ; Micro ondes Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit)
AUBERGE ARMORICAINE;Hôtel - Restaurant;4 place de l'église;44110;LOUISFERT;44085;47.6747721;-1.4328524;47.6747721, -1.4328524;;02 28 04 07 67;;Non classé Parking privé,Restaurant,WiFi ;Animaux non acceptés  
Hôtel - Villa Bettina;Hôtel - Restaurant;5 avenue Bettine;44500;LA BAULE-ESCOUBLAC;44055;47.27979;-2.41754;47.27979, -2.41754;;02 40 60 23 93;http://www.hotel-villabettina.com;3 étoiles Restaurant,WiFi UNAT;Animaux non acceptés  
LE BRETAGNE;Hôtel;7 rue Joseph Grellier;44730;SAINT-MICHEL-CHEF-CHEF;44182;47.18131;-2.14716;47.18131, -2.14716;;02 40 27 84 60;;Non classé  ;  
Hôtel - Au Fin Gourmet;Hôtel;1 place du Pilori;44490;LE CROISIC;44049;47.29383;-2.51089;47.29383, -2.51089;;02 40 23 00 38;http://www.fingourmetcroisic.com;2 étoiles WiFi ;Animaux non acceptés  
Hôtel - Les Chants d'Ailes;Hôtel;11 boulevard Bellanger;44420;LA TURBALLE;44211;47.34377;-2.50689;47.34377, -2.50689;;02 40 23 47 28;http://www.hotel-les-chants-dailes-la-turballe.com;3 étoiles Parking privé,WiFi Clef Verte;Animaux admis Chiens - 15 kg sont admis sur demande et acceptation (avec un supplément). Chats non acceptés 
HÔTEL AKENA-NANTES REZÉ AÉROPORT;Hôtel;12 rue des Bruyères;44400;REZE;44143;47.1602852;-1.5412571;47.1602852, -1.5412571;;;www.hotel-akena-nantes-aeroport.com;3 étoiles Borne de recharge pour véhicules électriques,Climatisation,Parking privé,WiFi Clef Verte;Animaux admis nous acceptons les chiens. Un seul animal par chambre. Poids maximal: 15 kg. tarif par jour: 10€ 
Grand Hôtel Neptune;Hôtel - Restaurant;17 quai Jules Sandeau;44510;LE POULIGUEN;44135;47.27692;-2.42793;47.27692, -2.42793;;02 40 42 30 99;http://perso.orange.fr/grandhotelneptune;2 étoiles Restaurant ;Animaux non acceptés  
Hôtel - Casa Cosy;Hôtel;2 Rue du Croisic;44510;LE POULIGUEN;44135;47.27868;-2.43069;47.27868, -2.43069;;02 40 42 30 65;http://www.casacosy.fr;2 étoiles WiFi ;Animaux non acceptés  
Hôtel - Le Saint-Pierre;Hôtel;21 avenue Pasteur;44500;LA BAULE-ESCOUBLAC;44055;47.2845;-2.40115;47.2845, -2.40115;;02 40 24 05 41;;3 étoiles WiFi Qualité Tourisme;Animaux admis de petite taille 
LA MARE AUX OISEAUX – UN HÔTEL DE CHARME;Hôtel - Restaurant;223, rue du Chef de l'Île;44720;SAINT-JOACHIM;44168;47.37278;-2.21417;47.37278, -2.21417;;02 40 88 53 01;http://www.mareauxoiseaux.fr;4 étoiles Espace bien-être,Parking privé,Restaurant,WiFi ;Animaux admis  The Originals Hotels
Hôtel - Les PléÏades;Hôtel - Restaurant;28 boulevard du Docteur René Dubois;44500;LA BAULE-ESCOUBLAC;44055;47.28085;-2.38334;47.28085, -2.38334;;02 51 75 06 06;http://www.les-pleiades.com;3 étoiles Climatisation,Garage privé,Parking privé,Piscine couverte,Restaurant,WiFi ;Animaux non acceptés  
Résidence Adonis La Baule;Hôtel;53 avenue du Maréchal Franchet d'Esperey;44500;LA BAULE-ESCOUBLAC;44055;47.28643;-2.40349;47.28643, -2.40349;;02 40 11 72 72;http://www.adonis-residence-labaule.fr;3 étoiles Parking privé,Piscine,WiFi ;Animaux admis  
Hôtel - Les Embruns;Hôtel;Route de Saint Nudec;44740;BATZ-SUR-MER;44010;47.28402;-2.50353;47.28402, -2.50353;;02 40 23 83 33;http://www.hotel-les-embruns44.fr;2 étoiles Parking privé,WiFi ;Animaux admis Chiens de petite taille et chats 
HÔTEL PARTICULIER VILLA DES MARAIS;Hôtel;4, rue de la Guillauderie;44118;LA CHEVROLIERE;44041;47.08263;-1.56138;47.08263, -1.56138;;02 40 65 22 22;https://www.villa-des-marais.com;Non classé WiFi ;Animaux admis 6€ la nuit 
HÔTEL MERCURE ZENITH NANTES ST HERBLAIN;Hôtel;Rue Edith Piaf;44800;SAINT-HERBLAIN;44162;47.228472;-1.6247304;47.228472, -1.6247304;;02 72 01 00 00;https://all.accor.com/hotel/B262/index.fr.shtml;4 étoiles Borne de recharge pour véhicules électriques,Climatisation,Espace bien-être,Garage privé,Parking privé,Salle de sport,WiFi ;Animaux admis 10 euros Mercure
AUBERGE DU FORUM;Hôtel - Restaurant;13-15 Rue Jules Verne - Le Forum;44700;ORVAULT;44114;47.2525211;-1.6161254;47.2525211, -1.6161254;;02 40 94 91 30;http://aubergeduforum.fr;2 étoiles Parking privé,Restaurant,WiFi ;  
HOTEL DOMAINE DES LYS;Hôtel;Château de Guère;44150;ANCENIS-SAINT-GEREON;44003;47.3904065;-1.2129124;47.3904065, -1.2129124;;02 40 83 55 68;http://www.domainelys.fr;Non classé Parking privé,WiFi ;Animaux admis  
L'HÔTEL;Hôtel;6 rue Henri IV;44000;NANTES;44109;47.217499;-1.54757;47.217499, -1.54757;;02 40 29 30 31;www.nanteshotel.com;3 étoiles Climatisation,Parking privé,WiFi Accueil Vélo,La Loire à vélo,La Vélodyssée;Animaux non acceptés  
LOGIS HÔTEL DUQUESNE;Hôtel;12, allée Duquesne;44000;NANTES;44109;47.2185698;-1.5567004;47.2185698, -1.5567004;;02 40 47 57 24;http://www.hotel-duquesne-nantes.com;2 étoiles Local vélo,WiFi Accueil Vélo,Clef Verte,La Loire à vélo,La Vélodyssée;Animaux admis 5 Logis Hôtels
LOGIS HÔTEL CHATEAUBRIAND;Hôtel;2 bis, rue Chateaubriand;44000;NANTES;44109;47.2213531;-1.5550319;47.2213531, -1.5550319;;240202238;http://www.hotel-chateaubriand-nantes.fr/;2 étoiles Local vélo,Parking privé,WiFi Accueil Vélo,Clef Verte,La Loire à vélo,La Vélodyssée;Animaux admis 5€ par nuit Logis Hôtels
HÔTEL IBIS NANTES CENTRE TOUR BRETAGNE;Hôtel;19, rue Jean Jaurès;44000;NANTES;44109;47.218949;-1.5607023;47.218949, -1.5607023;;02 40 35 39 00;https://all.accor.com;3 étoiles Parking privé,WiFi Qualité Tourisme;Animaux admis 5€/jour Ibis
HÔTEL KYRIAD NANTES CENTRE GRASLIN;Hôtel;9, rue du Maréchal de Lattre de Tassigny;44000;NANTES;44109;47.211822;-1.560917;47.211822, -1.560917;;02 40 73 85 33;www.kyriad-nantes-graslin.fr;3 étoiles WiFi Clef Verte,Club des Hôteliers,Écolabel Européen;Animaux admis Supplément 5€ Kyriad
HÔTEL PREMIÈRE CLASSE ST SÉBASTIEN-SUR-LOIRE;Hôtel;1 Avenue Jules Verne;44230;SAINT-SEBASTIEN-SUR-LOIRE;44190;47.211698;-1.487231;47.211698, -1.487231;;02 40 80 79 80;;1 étoile Parking privé,Restaurant,WiFi ;Animaux admis 3€/jour 
BEST WESTERN ATLANTYS HÔTEL ZENITH NANTES;Hôtel;8 rue des Cochardières;44821;SAINT-HERBLAIN;44162;47.2286035;-1.6320919;47.2286035, -1.6320919;;02 40 63 99 63;www.atlantys-hotel.fr;3 étoiles Climatisation,Parking privé,WiFi Clef Verte;Animaux admis Petits animaux seulement, supplément de 10€ Best Western
THE ORIGINALS NANTES EST NOVELLACONFORT**/PREMIUM***;Hôtel;6 rue de l'Hôtellerie;44470;CARQUEFOU;44026;47.268572;-1.485686;47.268572, -1.485686;;02 40 30 12 12;http://www.theoriginalshotels.com;2 étoiles  Clef Verte;Animaux admis Supplément de 4€ 
CAMPANILE;Hôtel - Restaurant;31 rue du Morta;44570;TRIGNAC;44210;47.300449;-2.2104374;47.300449, -2.2104374;;02 40 90 44 44;www.campanile.com;3 étoiles Parking privé,Restaurant,WiFi Qualité Tourisme;Animaux admis  Campanile
HOTEL DE NANTES;Hôtel - Restaurant;12 Rue Georges Clémenceau;44760;LA BERNERIE-EN-RETZ;44012;47.08112;-2.03817;47.08112, -2.03817;;02 40 82 70 14;;Non classé Restaurant,WiFi ;Animaux admis  
Best Western Hôtel de la Cité & Spa;Hôtel;2 place Dolgellau;44350;GUERANDE;44069;47.32573;-2.41684;47.32573, -2.41684;;02 40 22 02 20;http://www.hotel-guerande.com;3 étoiles Climatisation,Espace bien-être,Parking privé,Piscine,Salle de sport,WiFi ;Animaux admis Supplément de 15€ par animal et par jour. Best Western
HÔTEL KYRIAD NANTES OUEST SAINT-HERBLAIN ZÉNITH;Hôtel;Esplanade Ella Fitzgerald;44800;SAINT-HERBLAIN;44162;47.2286805;-1.6244531;47.2286805, -1.6244531;;02 72 01 00 00;;4 étoiles  ;  
Hôtel - Mercure La Baule Majestic;Hôtel - Restaurant;2 Avenue de la Noue;44500;LA BAULE-ESCOUBLAC;44055;47.2806;-2.40829;47.2806, -2.40829;;02 40 60 24 86;https://www.hotelmercure-labaule.com;4 étoiles Climatisation,Parking privé,Restaurant,WiFi ;Animaux admis  Mercure
Hôtel des Marais Salants;Hôtel;22 rue de la Gare;44740;BATZ-SUR-MER;44010;47.28036;-2.47929;47.28036, -2.47929;;02 40 23 78 86;http://www.hotel-des-marais-salants.com;2 étoiles WiFi Qualité Tourisme;Animaux non acceptés Seuls les petits animaux de compagnie sont admis sur demande 
Le Marina **;Hôtel;26 avenue des Pins;44380;PORNICHET;44132;47.24693;-2.31695;47.24693, -2.31695;;02 40 61 02 66;http://www.lemarina.fr;2 étoiles Parking privé,WiFi ;Animaux admis accueil des animaux dans les chambres équipées de carrelage 
Hôtel - Le Relais Marine;Hôtel - Restaurant;276 rue Centrale;44420;MESQUER;44097;47.4054;-2.48194;47.4054, -2.48194;;02 40 42 51 09;http://www.relaismarine.fr;Non classé Restaurant,WiFi Accueil Vélo; Chien uniquement sur demande au préalable 
Hôtel - La Villa Caroline;Hôtel - Restaurant;46 avenue des Lilas;44500;LA BAULE-ESCOUBLAC;44055;47.27741;-2.42044;47.27741, -2.42044;;02 40 11 54 54;https://www.vacancesbleues.fr/fr/la-baule/hotel-villa-caroline;3 étoiles Parking privé,Restaurant,WiFi ;Animaux admis  
Domaine de la Bretesche;Hôtel - Restaurant;Domaine de la Bretesche;44780;MISSILLAC;44098;47.4808;-2.17048;47.4808, -2.17048;;02 51 76 86 96;http://www.bretesche.com;5 étoiles Climatisation,Parking privé,Piscine,Piscine couverte,Restaurant,Salle de sport,WiFi ;Animaux admis 26 € par jour Relais et Châteaux
Eco-Lodge - Domaine de Pan;Hôtel;Le Nézil;44410;SAINT-LYPHARD;44175;47.37165;-2.32523;47.37165, -2.32523;;02 53 35 50 30;https://astonomia.com/domaine-de-pan/;4 étoiles WiFi Écolabel Européen;  
Domaine Ker Juliette***;Hôtel - Restaurant;SARL SODEREST;44380;PORNICHET;44132;47.24497;-2.31643;47.24497, -2.31643;;02 40 11 22 00;https://www.hotel-kerjuliette-bretagne.com;3 étoiles Espace bien-être,Parking privé,Piscine,Restaurant,WiFi ;Animaux admis supplément 12€ par nuit 
HOTEL IBIS BUDGET ANCENIS;Hôtel;630 rue de l'Industrie;44522;MESANGER;44096;47.4122857;-1.1919448;47.4122857, -1.1919448;;08 92 70 12 48;http://www.ibisbudget.com;2 étoiles Climatisation,Parking privé,Restaurant,WiFi ;Animaux admis  Ibis
RADISSON BLU;Hôtel - Restaurant;6 place Aristide Briand;44000;NANTES;44109;47.217484;-1.563148;47.217484, -1.563148;;02 72 00 10 00;https://www.radissonhotels.com/fr-fr/hotels/radisson-blu-nantes;4 étoiles Climatisation,Restaurant,WiFi Clef Verte;Animaux admis 25 € par animaux 
SURE HOTEL BY BEST WESTERN NANTES BEAUJOIRE;Hôtel;27 Rue du Chemin Rouge;44300;NANTES;44109;47.251359;-1.510148;47.251359, -1.510148;;02 14 00 07 89;http://www.nantesbeaujoire.com/;3 étoiles Climatisation,Parking privé,Salle de sport,WiFi Accueil Vélo,La Vélodyssée;Animaux admis 10 € de supplément / animal / nuit Best Western
THE ORIGINALS NANTES EST SUITE;Hôtel;8 rue de l'hôtellerie;44470;CARQUEFOU;44026;47.268485;-1.485257;47.268485, -1.485257;;02 28 23 09 59;www.novella-nantes.com;3 étoiles Parking privé,WiFi Clef Verte;Animaux admis  The Originals Hotels
HÔTEL PREMIÈRE CLASSE REZÉ;Hôtel;4 Impasse Ordronneau - CP 2511;44400;REZE;44143;47.190616;-1.569382;47.190616, -1.569382;;08 92 23 48 14;https://nantes-sud-reze-aeroport.premiere-classe.com;1 étoile Parking privé,WiFi ;  Première Classe
HÔTEL B&B NANTES ATLANTIS LE ZENITH;Hôtel;Rue du Moulin de la Rousselière;44821;SAINT-HERBLAIN;44162;47.233965;-1.64825;47.233965, -1.64825;;0 892 78 81 11;http://www.hotel-bb.com;2 étoiles Climatisation,Parking privé,WiFi ;Animaux admis Supplément 4€ B and B
